id,label,melting_point,boiling_point,acid_base_type,acid_base_strength,ionization_factor,bond_type,molar_mass,density,heat_capacity,enthalpy_formation
66,C17H35Cl (Kloroalkana),24.0,352.84,Netral,Tidak Ada,0.0,Senyawa Kovalen,274.917,0.782,564.4,-426.51
67,C17H35F (Fluoroalkana),8.79,303.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,258.465,0.782,562.8,-562.78
68,C17H35NH2 (Amina),40.67,291.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,255.49,0.816,590.6,-426.3247158046207
69,C17H35OH (Alkohol Alifatik),55.5,324.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,256.474,0.846,570.0,-702.1851428571429
70,C17H36 (Alkana/Parafin),22.0,303.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,240.475,0.782,553.2,-479.5
71,C18H34 (Alkuna),-9.05,347.29,Netral,Tidak Ada,0.0,Senyawa Kovalen,250.47,0.801,538.8,-232.21
72,C18H36 (Alkena/Olefin),17.5,315.5,Netral,Tidak Ada,0.0,Senyawa Kovalen,252.486,0.793,561.6,-380.99
73,C18H37COOH (Asam Lemak/Karboksilat),69.2,300.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,298.511,0.872,626.4,-847.013063766286
74,C18H37Cl (Kloroalkana),34.39,375.28,Netral,Tidak Ada,0.0,Senyawa Kovalen,288.944,0.786,595.6,-552.2296317618382
75,C18H37F (Fluoroalkana),20.06,316.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,272.492,0.786,594.0,-581.16
76,C18H37NH2 (Amina),51.94,304.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,269.517,0.818,621.8,-449.2941226317052
77,C18H37OH (Alkohol Alifatik),41.7,318.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,270.501,0.847,601.2,-735.1590357142857
78,C18H38 (Alkana/Parafin),28.0,316.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,254.502,0.786,584.4,-567.4
79,C19H36 (Alkuna),121.84,369.73,Netral,Tidak Ada,0.0,Senyawa Kovalen,264.497,0.804,570.0,-444.63861198738164
80,C19H38 (Alkena/Olefin),23.0,331.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,266.513,0.797,592.8,-403.65
81,C19H39COOH (Asam Lemak/Karboksilat),75.0,400.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,312.538,0.871,657.6,-1011.9
82,C19H39Cl (Kloroalkana),27.5,165.5,Netral,Tidak Ada,0.0,Senyawa Kovalen,302.971,0.789,626.8,-575.4526061926249
83,C19H39F (Fluoroalkana),31.33,329.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,286.519,0.789,625.2,-575.4526061926249
84,C19H39NH2 (Amina),63.21,317.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,283.544,0.819,653.0,-472.26352945878966
85,C19H39OH (Alkohol Alifatik),63.3,345.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,284.528,0.847,632.4,-768.1329285714287
86,C19H40 (Alkana/Parafin),-13.15,360.73,Netral,Tidak Ada,0.0,Senyawa Kovalen,268.529,0.789,615.6,-575.4526061926249
87,C1H3Cl (Kloroalkana),-97.35,-23.98,Netral,Tidak Ada,0.0,Senyawa Kovalen,50.485,-0.3,65.2,-82.62
88,C1H3F (Fluoroalkana),-141.85,-78.31,Netral,Tidak Ada,0.0,Senyawa Kovalen,34.033,-0.3,63.6,-236.58
89,C1H3NH2 (Amina),-93.2,-6.4,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,31.058,0.44,91.4,-20.91
90,C20H38 (Alkuna),148.11,330.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,278.524,0.807,601.2,-480.9805362776025
91,C20H40 (Alkena/Olefin),36.93,388.21,Netral,Tidak Ada,0.0,Senyawa Kovalen,280.54,0.8,624.0,-456.68501857585136
