id,label,melting_point,boiling_point,acid_base_type,acid_base_strength,ionization_factor,bond_type,molar_mass,density,heat_capacity,enthalpy_formation
370,C51H103OH (Alkohol Alifatik),635.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,733.392,0.849,1630.8,-1823.2975000000001
371,C51H104 (Alkana/Parafin),391.38,584.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,717.393,0.827,1614.0,-1318.587787977802
372,C52H102 (Alkuna),600.0,1400.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,727.388,0.846,1599.6,-1643.9221135646687
373,C52H104 (Alkena/Olefin),600.0,1400.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,729.404,0.837,1622.4,-1315.1977616099068
374,C52H105COOH (Asam Lemak/Karboksilat),735.0,1610.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,775.429,0.858,1687.2,-1794.7434420019513
375,C52H105Cl (Kloroalkana),600.0,1420.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,765.862,0.828,1656.4,-1341.8107624085887
376,C52H105F (Fluoroalkana),600.0,1420.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,749.41,0.828,1654.8,-1341.8107624085887
377,C52H105NH2 (Amina),600.0,1400.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,746.435,0.832,1682.6,-1230.2539547525782
378,C52H105OH (Alkohol Alifatik),650.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,747.419,0.849,1662.0,-1856.2713928571432
379,C52H106 (Alkana/Parafin),93.85,588.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,731.42,0.828,1645.2,-1341.8107624085887
380,C53H104 (Alkuna),615.0,1430.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,741.415,0.846,1630.8,-1680.2640378548895
381,C53H106 (Alkena/Olefin),615.0,1430.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,743.431,0.837,1653.6,-1342.0262848297211
382,C53H107COOH (Asam Lemak/Karboksilat),750.0,1640.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,789.456,0.858,1718.4,-1822.6178648912355
383,C53H107Cl (Kloroalkana),615.0,1450.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,779.889,0.828,1687.6,-1365.0337368393757
384,C53H107F (Fluoroalkana),615.0,1450.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,763.437,0.828,1686.0,-1365.0337368393757
385,C53H107NH2 (Amina),615.0,1430.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,760.462,0.832,1713.8,-1253.2233615796627
386,C53H107OH (Alkohol Alifatik),665.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,761.446,0.849,1693.2,-1889.245285714286
387,C53H108 (Alkana/Parafin),413.92,593.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,745.447,0.828,1676.4,-1365.0337368393757
388,C54H106 (Alkuna),630.0,1460.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,755.442,0.847,1662.0,-1716.6059621451102
389,C54H108 (Alkena/Olefin),90.85,1391.15,Netral,Tidak Ada,0.0,Senyawa Kovalen,757.458,0.838,1684.8,-1368.8548080495352
390,C54H109COOH (Asam Lemak/Karboksilat),765.0,1670.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,803.483,0.857,1749.6,-1850.4922877805197
391,C54H109Cl (Kloroalkana),630.0,1480.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,793.916,0.829,1718.8,-1388.2567112701624
392,C54H109F (Fluoroalkana),630.0,1480.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,777.464,0.829,1717.2,-1388.2567112701624
393,C54H109NH2 (Amina),412.66,1173.09,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,774.489,0.833,1745.0,-1276.192768406747
394,C54H109OH (Alkohol Alifatik),680.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,775.473,0.849,1724.4,-1922.2191785714288
395,C54H110 (Alkana/Parafin),94.85,597.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,759.474,0.829,1707.6,-1388.2567112701624
396,C55H108 (Alkuna),645.0,1490.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,769.469,0.847,1693.2,-1752.9478864353312
397,C55H110 (Alkena/Olefin),645.0,1490.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,771.485,0.838,1716.0,-1395.6833312693495
398,C55H111COOH (Asam Lemak/Karboksilat),780.0,1700.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,817.51,0.857,1780.8,-1878.366710669804
399,C55H111Cl (Kloroalkana),645.0,1510.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,807.943,0.829,1750.0,-1411.4796857009492
400,C55H111F (Fluoroalkana),645.0,1510.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,791.491,0.829,1748.4,-1411.4796857009492
401,C55H111NH2 (Amina),645.0,1490.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,788.516,0.833,1776.2,-1299.1621752338317
402,C55H111OH (Alkohol Alifatik),695.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,789.5,0.849,1755.6,-1955.1930714285716
403,C55H112 (Alkana/Parafin),645.0,1490.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,773.501,0.829,1738.8,-1411.4796857009492
404,C56H110 (Alkuna),660.0,1520.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,783.496,0.848,1724.4,-1789.289810725552
405,C56H112 (Alkena/Olefin),660.0,1520.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,785.512,0.839,1747.2,-1422.5118544891639
406,C56H113COOH (Asam Lemak/Karboksilat),795.0,1730.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,831.537,0.857,1812.0,-1906.2411335590882
407,C56H113Cl (Kloroalkana),660.0,1540.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,821.97,0.829,1781.2,-1434.702660131736
408,C56H113F (Fluoroalkana),660.0,1540.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,805.518,0.829,1779.6,-1434.702660131736
409,C56H113NH2 (Amina),660.0,1520.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,802.543,0.833,1807.4,-1322.1315820609161
410,C56H113OH (Alkohol Alifatik),710.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,803.527,0.849,1786.8,-1988.1669642857146
411,C56H114 (Alkana/Parafin),660.0,1520.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,787.528,0.829,1770.0,-1434.702660131736
412,C57H112 (Alkuna),675.0,1550.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,797.523,0.848,1755.6,-1825.6317350157726
413,C57H114 (Alkena/Olefin),675.0,1550.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,799.539,0.839,1778.4,-1449.340377708978
414,C57H115COOH (Asam Lemak/Karboksilat),810.0,1760.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,845.564,0.857,1843.2,-1934.1155564483727
415,C57H115Cl (Kloroalkana),675.0,1570.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,835.997,0.83,1812.4,-1457.9256345625226
416,C57H115F (Fluoroalkana),675.0,1570.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,819.545,0.83,1810.8,-1457.9256345625226
417,C57H115NH2 (Amina),491.47,556.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,816.57,0.833,1838.6,-1345.1009888880005
418,C57H115OH (Alkohol Alifatik),725.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,817.554,0.849,1818.0,-2021.1408571428574
419,C57H116 (Alkana/Parafin),96.55,609.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,801.555,0.83,1801.2,-1457.9256345625226
420,C58H114 (Alkuna),690.0,1580.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,811.55,0.848,1786.8,-1861.9736593059936
421,C58H116 (Alkena/Olefin),690.0,1580.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,813.566,0.839,1809.6,-1476.1689009287923
422,C58H117COOH (Asam Lemak/Karboksilat),825.0,1790.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,859.591,0.857,1874.4,-1961.989979337657
423,C58H117Cl (Kloroalkana),690.0,1600.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,850.024,0.83,1843.6,-1481.1486089933096
424,C58H117F (Fluoroalkana),690.0,1600.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,833.572,0.83,1842.0,-1481.1486089933096
425,C58H117NH2 (Amina),690.0,1580.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,830.597,0.833,1869.8,-1368.0703957150852
426,C58H117OH (Alkohol Alifatik),740.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,831.581,0.849,1849.2,-2054.11475
427,C58H118 (Alkana/Parafin),98.18,613.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,815.582,0.83,1832.4,-1481.1486089933096
428,C59H116 (Alkuna),705.0,1610.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,825.577,0.849,1818.0,-1898.3155835962145
429,C59H118 (Alkena/Olefin),705.0,1610.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,827.593,0.84,1840.8,-1502.9974241486066
430,C59H119COOH (Asam Lemak/Karboksilat),840.0,1820.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,873.618,0.857,1905.6,-1989.8644022269411
431,C59H119Cl (Kloroalkana),705.0,1630.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,864.051,0.831,1874.8,-1504.3715834240963
432,C59H119F (Fluoroalkana),705.0,1630.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,847.599,0.831,1873.2,-1504.3715834240963
433,C59H119NH2 (Amina),705.0,1610.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,844.624,0.833,1901.0,-1391.0398025421696
434,C59H119OH (Alkohol Alifatik),755.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,845.608,0.849,1880.4,-2087.0886428571434
435,C59H120 (Alkana/Parafin),705.0,1610.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,829.609,0.831,1863.6,-1504.3715834240963
436,C5H10 (Alkena/Olefin),-136.0,36.3,Netral,Tidak Ada,0.0,Senyawa Kovalen,70.135,0.62,156.0,-58.2
437,C5H11COOH (Asam Lemak/Karboksilat),-37.8,182.49,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,116.16,0.93,220.8,-392.91
438,C5H11Cl (Kloroalkana),-99.0,107.9,Netral,Tidak Ada,0.0,Senyawa Kovalen,106.593,0.62,190.0,-213.2
439,C5H11F (Fluoroalkana),-141.45,55.9,Netral,Tidak Ada,0.0,Senyawa Kovalen,90.141,0.62,188.4,-377.53
440,C5H11NH2 (Amina),-105.0,77.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,87.166,0.76,216.2,-146.06
441,C5H11OH (Alkohol Alifatik),-117.0,130.8,Netral,Tidak Ada,0.0,Senyawa Kovalen,88.15,0.838,195.6,-356.4
442,C5H12 (Alkana/Parafin),-130.0,36.06,Netral,Tidak Ada,0.0,Senyawa Kovalen,72.151,0.62,178.8,-173.5
443,C5H8 (Alkuna),-114.1,44.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,68.119,0.62,133.2,53.68
444,C60H118 (Alkuna),720.0,1640.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,839.604,0.849,1849.2,-1934.657507886435
445,C60H120 (Alkena/Olefin),720.0,1640.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,841.62,0.84,1872.0,-1529.8259473684207
446,C60H121Cl (Kloroalkana),720.0,1660.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,878.078,0.831,1906.0,-1527.594557854883
447,C60H121F (Fluoroalkana),720.0,1660.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,861.626,0.831,1904.4,-1527.594557854883
448,C60H121NH2 (Amina),720.0,1640.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,858.651,0.833,1932.2,-1414.009209369254
449,C60H121OH (Alkohol Alifatik),770.0,1327.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,859.635,0.849,1911.6,-2120.0625357142862
450,C60H122 (Alkana/Parafin),100.0,250.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,843.636,0.831,1894.8,-1527.594557854883
451,C6H10 (Alkuna),-96.1,83.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,82.146,0.662,164.4,15.1
452,C6H12 (Alkena/Olefin),-134.8,56.4,Netral,Tidak Ada,0.0,Senyawa Kovalen,84.162,0.66,187.2,-87.0
453,C6H12O6 (Glukosa / Gula Darah),102.0,577.18,Netral,Tidak Ada,0.0,Senyawa Kovalen,180.156,,288.0,
454,C6H13COOH (Asam Lemak/Karboksilat),-77.17,132.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,130.187,0.917,252.0,-555.2
455,C6H13Cl (Kloroalkana),-115.85,116.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,120.62,0.658,221.2,-231.16
456,C6H13F (Fluoroalkana),-130.18,82.9,Netral,Tidak Ada,0.0,Senyawa Kovalen,104.168,0.658,219.6,-402.45
457,C6H13NH2 (Amina),96.0,92.2,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,101.193,0.773,247.4,-173.66124070669122
458,C6H13OH (Alkohol Alifatik),-93.54,99.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,102.177,0.84,226.8,-316.21
459,C6H14 (Alkana/Parafin),-95.07,68.72,Netral,Tidak Ada,0.0,Senyawa Kovalen,86.178,0.658,210.0,-198.49
460,C6H5OH (Fenol),41.0,181.8,Netral,Tidak Ada,0.0,Senyawa Kovalen,94.113,1.06,135.6,-165.1
461,C6H6 (Benzena),5.5,80.07,Netral,Tidak Ada,0.0,Senyawa Kovalen,78.114,,118.8,49.1
462,C6H8O6 (Vitamin C / Asam Askorbat),177.5,444.11,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,176.124,,242.4,
463,C7H12 (Alkuna),-92.84,98.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,96.173,0.691,195.6,-36.17
464,C7H14 (Alkena/Olefin),-136.6,96.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,98.189,0.689,218.4,-104.3
465,C7H15COOH (Asam Lemak/Karboksilat),-41.49,165.16,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,144.214,0.907,283.2,-384.0
466,C7H15Cl (Kloroalkana),-72.16,143.5,Netral,Tidak Ada,0.0,Senyawa Kovalen,134.647,0.686,252.4,-259.66
467,C7H15F (Fluoroalkana),-73.0,122.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,118.195,0.686,250.8,-365.66
468,C7H15NH2 (Amina),-18.0,153.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,115.22,0.783,278.6,-266.0
469,C7H15OH (Alkohol Alifatik),-97.27,107.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,116.204,0.841,258.0,-364.04
470,C7H16 (Alkana/Parafin),-91.0,98.4,Netral,Tidak Ada,0.0,Senyawa Kovalen,100.205,0.686,241.2,-223.91
471,C7H6O3 (Asam Salisilat),145.5,150.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,138.122,,177.6,
472,C7H8 (Toluena),-93.95,110.6,Netral,Tidak Ada,0.0,Senyawa Kovalen,92.141,,150.0,12.36
473,C8H10N4O2 (Kafein),238.0,367.25,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,194.194,,318.8,
474,C8H14 (Alkuna),104.5,103.38,Netral,Tidak Ada,0.0,Senyawa Kovalen,110.2,0.714,226.8,-44.87744479495268
475,C8H16 (Alkena/Olefin),-88.0,124.9,Netral,Tidak Ada,0.0,Senyawa Kovalen,112.216,0.71,249.6,-135.7
476,C8H17COOH (Asam Lemak/Karboksilat),95.5,328.78,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,158.241,0.9,314.4,-568.2688348734432
477,C8H17Cl (Kloroalkana),-17.9,140.46,Netral,Tidak Ada,0.0,Senyawa Kovalen,148.674,0.706,283.6,-281.07
478,C8H17F (Fluoroalkana),-64.0,146.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,132.222,0.706,282.0,-386.0
479,C8H17NH2 (Amina),-62.0,162.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,129.247,0.79,309.8,-206.0
480,C8H17OH (Alkohol Alifatik),-44.99,160.2,Netral,Tidak Ada,0.0,Senyawa Kovalen,130.231,0.843,289.2,-431.53
481,C8H18 (Alkana/Parafin),-56.85,125.64,Netral,Tidak Ada,0.0,Senyawa Kovalen,114.232,0.706,272.4,-249.73
482,C9H16 (Alkuna),-99.44,148.5,Netral,Tidak Ada,0.0,Senyawa Kovalen,124.227,0.731,258.0,-81.21936908517353
483,C9H18 (Alkena/Olefin),-110.26,130.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,126.243,0.727,280.8,-161.57126315789475
484,C9H19COOH (Asam Lemak/Karboksilat),158.5,351.5,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,172.268,0.894,345.6,-596.1432577627274
485,C9H19Cl (Kloroalkana),-49.62,166.57,Netral,Tidak Ada,0.0,Senyawa Kovalen,162.701,0.722,314.8,-310.38
486,C9H19F (Fluoroalkana),1.0,167.5,Netral,Tidak Ada,0.0,Senyawa Kovalen,146.249,0.722,313.2,-474.3
487,C9H19NH2 (Amina),-1.0,198.0,Basa Lemah,Lemah,0.0001,Senyawa Kovalen,143.274,0.796,341.0,-256.23
488,C9H19OH (Alkohol Alifatik),-57.31,151.56,Netral,Tidak Ada,0.0,Senyawa Kovalen,144.258,0.843,320.4,-415.13
489,C9H20 (Alkana/Parafin),-53.25,150.76,Netral,Tidak Ada,0.0,Senyawa Kovalen,128.259,0.722,303.6,-274.7
490,C9H8O4 (Aspirin),116.5,374.45,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,180.159,,234.0,
491,CCl4 (Karbon Tetraklorida),-23.0,76.7,Netral,Tidak Ada,0.0,Senyawa Kovalen,153.811,,98.8,-130.09
492,CH (Radikal Metilidin),-273.0,-273.0,Netral,Tidak Ada,0.0,Radikal Bebas,13.019,,19.8,
493,CH2 (Metilena),-273.0,-273.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,14.027,,31.2,
494,CH2NH (Metanimina),111.75,26.31,Netral,Tidak Ada,0.0,Senyawa Kovalen,29.042,,68.6,
495,CH2O (Formaldehida),-92.0,-19.1,Netral,Tidak Ada,0.0,Senyawa Kovalen,30.026,,48.0,-109.16
496,CH3 (Radikal Metil),-273.0,-273.0,Netral,Tidak Ada,0.0,Radikal Bebas,15.035,,42.6,
497,CH3CHO (Asetaldehida),-111.35,10.51,Netral,Tidak Ada,0.0,Senyawa Kovalen,44.053,,79.2,-52.68
498,CH3COOH (Asam Asetat/Cuka),16.6,117.9,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,60.052,,96.0,-386.15
499,CH3COONa (Natrium Asetat),324.0,881.4,Netral,Tidak Ada,0.0,Senyawa Ionik,82.034,1.528,84.6,-708.8
500,CH3OH (Metanol),-98.0,64.48,Netral,Tidak Ada,0.0,Senyawa Kovalen,32.042,,70.8,-238.4
501,CH4 (Gas Metana),-182.4,-161.48,Netral,Tidak Ada,0.0,Senyawa Kovalen,16.043,0.7168,54.0,-74.53
502,CH4N2O (Urea),133.35,353.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,60.056,,122.8,-333.1
503,CO (Karbon Monoksida),-205.0,-191.51,Netral,Tidak Ada,0.0,Senyawa Kovalen,28.01,8.9,25.2,-110.53
504,CO2 (Karbon Dioksida),-56.5,-78.48,Netral,Tidak Ada,0.0,Senyawa Kovalen,44.009,1.976,42.0,-393.47
505,CO3 (Radikal Karbonat),-273.0,-273.0,Netral,Tidak Ada,0.0,Radikal Bebas,60.008,,58.8,
506,CaCl2 (Kalsium Klorida),775.0,1935.0,Netral,Tidak Ada,0.0,Senyawa Ionik,110.978,2.2,45.2,-795.4
507,Cl2 (Gas Klorin),-101.0,-33.95,Netral,Tidak Ada,0.0,Senyawa Kovalen,70.9,2.898,45.2,0.0
508,F2 (Gas Fluorin),-219.67,-188.11,Netral,Tidak Ada,0.0,Senyawa Kovalen,37.997,1.667,42.0,0.0
509,Fe,1538.0,2861.0,Netral,Tidak Ada,0.0,Logam Murni,55.845,,,0.0
510,Fe2O3 (Karat Besi),1565.0,3414.0,Netral,Tidak Ada,0.0,Senyawa Ionik,159.687,,50.4,-824.2
511,FeCl2 (Besi(II) Klorida),677.0,1023.0,Netral,Tidak Ada,0.0,Senyawa Ionik,126.745,,45.2,-341.8
512,FeO (Besi(II) Oksida),1377.0,3414.0,Netral,Tidak Ada,0.0,Senyawa Ionik,71.844,,16.8,-272.0
513,H2 (Gas Hidrogen),-259.16,-252.78,Netral,Tidak Ada,0.0,Senyawa Kovalen,2.016,0.082,22.8,0.0
514,H2CO3 (Asam Karbonat),-20.0,100.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,62.024,,81.6,
515,H2O (Air),0.0,99.97,Netral,Tidak Ada,0.0,Senyawa Kovalen,18.015,1.0,39.6,-285.82
516,H2O2 (Hidrogen Peroksida),-20.21,150.2,Netral,Tidak Ada,0.0,Senyawa Kovalen,34.014,,56.4,-187.8
517,H2S (Hidrogen Sulfida),-85.5,-60.3,ACID,WEAK,0.001,Senyawa Kovalen,34.076,1.5392,45.4,-20.6
518,H2SO3 (Asam Sulfit),-273.0,-273.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,82.073,,95.8,
519,H2SO4 (Asam Sulfat),4.16,337.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,98.072,,112.6,-814.0
520,H3PO4 (Asam Fosfat),31.18,407.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,97.994,1.9,101.4,-1284.4
521,HBr (Asam Bromida),-86.5,-66.38,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,80.912,,39.0,-35.85
522,HCN (Asam Sianida),-13.4,25.63,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,27.026,,45.8,108.9
523,HCOOH (Asam Format),8.3,101.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,46.025,,64.8,-425.0
524,HCl (Asam Klorida),-114.2,-85.1,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,36.458,1.639,34.0,-92.17
525,HF (Asam Fluorida),-83.55,20.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,20.006,,32.4,-272.71
526,HI (Asam Iodida),-50.76,-35.55,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,127.912,5.66,11.4,26.47
527,HNO3 (Asam Nitrat),-42.0,83.0,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,63.012,,87.8,-174.1
528,I2 (Gas Iodida),113.55,184.4,Netral,Tidak Ada,0.0,Senyawa Kovalen,253.809,11.27,,0.0
529,K2SO4 (Kalium Sulfat),1069.0,1689.0,Netral,Tidak Ada,0.0,Senyawa Ionik,174.253,2.66,89.8,-1437.8
530,KCl (Kalium Klorida),771.0,1415.85,Netral,Tidak Ada,0.0,Senyawa Ionik,74.548,1.98,22.6,-436.5
531,KI (Kalium Iodida),681.0,1323.0,Netral,Tidak Ada,0.0,Senyawa Ionik,166.003,,,-327.9
532,KNO3 (Kalium Nitrat),334.0,400.0,Netral,Tidak Ada,0.0,Senyawa Ionik,101.102,2.1,76.4,-494.6
533,KOH (Kalium Hidroksida),406.0,1327.0,BASE,STRONG,1.0,Senyawa Ionik,56.105,2.04,28.2,-424.6
534,Mg,650.0,1090.0,Netral,Tidak Ada,0.0,Logam Murni,24.305,1.7,,0.0
535,MgCl2 (Magnesium Klorida),714.0,1412.0,Netral,Tidak Ada,0.0,Senyawa Ionik,95.205,2.3,45.2,-641.3
536,N2 (Gas Nitrogen),-210.0,-195.8,Netral,Tidak Ada,0.0,Senyawa Kovalen,28.014,1.251,52.0,0.0
537,N2H2 (Diazena),-150.0,-100.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,30.03,,74.8,
538,N2H4 (Hidrazina),2.0,113.55,Netral,Tidak Ada,0.0,Senyawa Kovalen,32.046,,97.6,50.6
539,N2O (Gas Tertawa / Nitrous Oksida),-90.8,-88.47,Netral,Tidak Ada,0.0,Senyawa Kovalen,44.013,1.799,68.8,82.57
540,N2O4 (Dinitrogen Tetroksida),-9.3,21.15,Netral,Tidak Ada,0.0,Senyawa Kovalen,92.01,,119.2,10.77
541,NH (Radikal Imidogen),-273.0,-273.0,Netral,Tidak Ada,0.0,Radikal Bebas,15.015,,37.4,
542,NH2 (Radikal Amino),-273.0,-273.0,Netral,Tidak Ada,0.0,Radikal Bebas,16.023,,48.8,
543,NH2COOH (Asam Karbamat),-29.0,101.19,Asam Lemah,Lemah,1e-05,Senyawa Kovalen,61.04,,102.2,-112.6
544,NH3 (Gas Amonia),-77.7,-33.32,BASE,WEAK,0.004,Senyawa Kovalen,17.031,0.696,60.2,-45.56
545,NH4Cl (Amonium Klorida / Salmiak),338.0,520.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,53.489,1.5,94.2,-314.4
546,NO (Nitrogen Monoksida),-163.6,-151.74,Netral,Tidak Ada,0.0,Senyawa Kovalen,30.006,,42.8,91.09
547,NO2 (Nitrogen Dioksida),-9.3,21.15,Netral,Tidak Ada,0.0,Senyawa Kovalen,46.005,,59.6,34.02
548,Na2SO4 (Natrium Sulfat),884.0,1429.0,Netral,Tidak Ada,0.0,Senyawa Ionik,142.036,,89.8,-1387.1
549,NaCl (Garam Dapur),800.7,1465.0,Netral,Tidak Ada,0.0,Senyawa Ionik,58.44,,22.6,-411.2
550,NaF (Natrium Fluorida),996.0,1704.0,Netral,Tidak Ada,0.0,Senyawa Ionik,41.988,2.8,21.0,-576.6
551,NaNO3 (Natrium Nitrat),306.5,380.0,Netral,Tidak Ada,0.0,Senyawa Ionik,84.994,2.3,76.4,-467.9
552,NaOH (Natrium Hidroksida),323.0,1388.0,BASE,STRONG,1.0,Senyawa Ionik,39.997,2.1,28.2,-425.8
553,O (Oksigen Atomik),-273.0,-273.0,Netral,Tidak Ada,0.0,Radikal Bebas,15.999,1.429,16.8,
554,O2 (Gas Oksigen),-218.79,-182.96,Netral,Tidak Ada,0.0,Senyawa Kovalen,31.998,1.429,33.6,0.0
555,O3 (Gas Ozon),-193.0,-111.35,Netral,Tidak Ada,0.0,Senyawa Kovalen,47.997,2.144,50.4,141.75
556,O4 (Tetraoksigen),-200.0,-150.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,63.996,,67.2,
557,OH (Radikal Hidroksil),-273.0,-273.0,Netral,Tidak Ada,0.0,Radikal Bebas,17.007,,28.2,
558,PH3 (Fosfin),-133.8,-87.75,Netral,Tidak Ada,0.0,Senyawa Kovalen,33.998,1.39,34.2,5.4
559,Pb(NO3)2 (Timbal(II) Nitrat),470.0,470.0,Netral,Tidak Ada,0.0,Senyawa Ionik,331.208,,76.4,-451.9
560,PbI2 (Endapan Kuning Timbal Iodida),410.0,872.0,Netral,Tidak Ada,0.0,Senyawa Ionik,461.009,,,-175.5
561,S (Belerang),13.25,444.61,Netral,Tidak Ada,0.0,Non-Logam (Radikal),32.06,2.1,22.6,1.85
562,SF6 (Sulfur Heksafluorida),-63.8,-63.8,Netral,Tidak Ada,0.0,Senyawa Kovalen,146.05,6.5,148.6,-1220.5
563,SO (Sulfur Monoksida),-50.0,-20.0,Netral,Tidak Ada,0.0,Senyawa Kovalen,48.059,,39.4,
